name,symbol,market_cap
Universal BTC,UNIBTC,190266930
Tradable NA Rent Financing Platform SSTN,PC0000031,189500000
Kraken Wrapped BTC,KBTC,189015836
Terra Luna Classic,LUNC,188776528
Mina Protocol,MINA,187591967
Lombard,BARD,187128062
Sahara AI,SAHARA,185713345
StandX DUSD,DUSD,185635688
SoSoValue,SOSO,183940274
Ecoreal Estate,ECOREAL,183623514
Nano,XNO,180225617
Cronos Bridged USDC (Cronos),USDC,178755780
0x Protocol,ZRX,178501593
Sky Coin,XSO,177862561
ChainOpera AI,COAI,175479347
Slash Vision Labs,SVL,175349140
Four,FORM,174963057
Prom,PROM,174844971
Akash Network,AKT,173447426
SafePal,SFP,172147413
LayerZero,ZRO,172044209
AI Companions,AIC,171691577
EOS,EOS,171188097
DigiByte,DGB,170440619
BitMart,BMX,169504096
Origin Ether,OETH,169439714
Binance-Peg SOL,SOL,168531963
Axelar,AXL,168380009
币安人生 (BinanceLife),币安人生,167760775
Useless Coin,USELESS,167130157
Theta Fuel,TFUEL,166972938
Arkham,ARKM,166661426
Convex Finance,CVX,166028181
Aster USDF,USDF,165093520
Giggle Fund,GIGGLE,164573232
Keeta,KTA,164080452
yearn.finance,YFI,163894282
Movement,MOVE,163673047
Rekt,REKT,163365400
Dog (Bitcoin),DOG,163059777
DeepBook,DEEP,162968567
KOGE,KOGE,161796902
Nexus Mutual,NXM,160117174
BUILDon,B,159022471
Gas,GAS,158829233
Ravencoin,RVN,158525282
Non-Playable Coin,NPC,157712011
DeAgentAI,AIA,157381282
InfiniFi USD,IUSD,155353084
Midas mF-ONE,MF-ONE,155109195
Tokenize Xchange,TKX,154544559
Kava,KAVA,153487610
Kite,KITE,152922591
Nervos Network,CKB,152388529
StarkGate Bridged USDC (Starknet),USDC,152330181
UCHAIN,UCN,152232407
Shuffle,SHFL,151789717
Oasis,ROSE,151350384
GUSD,GUSD,149722302
Plume,PLUME,149497392
Mog Coin,MOG,148276893
Staked USDai,SUSDAI,148133535
Ether.fi Staked BTC,EBTC,147859961
Polygon Bridged weETH (Katana),WEETH,147635854
Conscious Token,CONSCIOUS,146872579
Minidoge,MINIDOGE,146238291
ALEO,ALEO,146215678
Flare Bridged XRP (Flare),FXRP,145567868
Spiko US T-Bills Money Market Fund,USTBL,145152886
GoMining Token,GOMINING,144403549
Super OETH,SUPEROETH,144359909
Phantom Staked SOL,PSOL,144189673
Snek,SNEK,143725422
Zilliqa,ZIL,143478980
STASIS EURO,EURS,142823092
Baby Doge Coin,BABYDOGE,141829896
Wrapped Aave Ethereum USDC,WAETHUSDC,141463681
River,RIVER,140257709
MetaDAO,META,139565032
MAG7.ssi,MAG7.SSI,139483679
Theo Short Duration US Treasury Fund,THBILL,139044253
Grass,GRASS,138902313
Ultima,ULTIMA,138380005
AUSD,AUSD,137300723
YieldFi yToken,YUSD,136221079
Turbo,TURBO,135185485
cat in a dogs world,MEW,135097045
Stargate Finance,STG,134130644
Venom,VENOM,133863051
Safe,SAFE,132882388
Crypto.com Staked ETH,CDCETH,132732265
Threshold Network,T,132672400
Celo,CELO,132661671
Bedrock BTC,BRBTC,132265251
AgentFun.AI,AGENTFUN,132120806
Saros,SAROS,131776469
Apollo Diversified Credit Securitize Fund,ACRED,131630896
Melania Meme,MELANIA,131491548
Pirate Chain,ARRR,130114839
Drift Protocol,DRIFT,129899560
WeFi,WFI,128908629
Avantis,AVNT,128381270
Bio Protocol,BIO,128276498
CoinEx,CET,127981581
Infrared Bera,IBERA,127962804
Unit Pump,UPUMP,127616657
KUB Coin,KUB,127001288
Popcat,POPCAT,126497433
DOLA,DOLA,125246190
Velo,VELO,124179507
Astar,ASTR,122927282
XPR Network,XPR,121655170
Sui Bridged WBTC (Sui),WBTC,121582337
Wrapped Aave Ethereum USDT,WAETHUSDT,121479153
AWE Network,AWE,120370269
Wrapped Aave Ethereum WETH,WAETHWETH,120111054
Rollbit Coin,RLB,118843862
Ozone Chain,OZO,118545762
Qubic,QUBIC,118439184
Metal Blockchain,METAL,117983625
Chia,XCH,117613034
ZetaChain,ZETA,117560784
Blur,BLUR,116412674
Quantum Resistant Ledger,QRL,114821789
Gaib AI Dollar Alpha USDC,AIDAUSDC,114744142
Recall,RECALL,114478728
Anzen USDz,USDZ,113822363
cETH,CETH,113417227
TDCCP,TDCCP,113295764
VeThor,VTHO,112965349
Unibase,UB,112818950
Peanut the Squirrel,PNUT,112312642
Avalanche Bridged WETH (Avalanche),WETH,111125900
Frax USD,FRXUSD,110908210
Siacoin,SC,110651346
Moonwell Flagship ETH (Morpho Vault),MWETH,110163805
Holo,HOT,110130988
Verge,XVG,110117729
Alchemist AI,ALCH,109438471
ZIGChain,ZIG,109177021
VVS Finance,VVS,108583572
CoW Protocol,COW,108049196
Midas mHYPER,MHYPER,107430141
Ostrich,RICH,106881641
USDA,USDA,106731504
Succinct,PROVE,106623679
MANTRA,OM,105600923
Verus,VRSC,105154172
aelf,ELF,105119152
APEX,APEX,104854708
Euler,EUL,104652364
Onchain Yield Coin,ONYC,104642668
Renzo Restaked LST,PZETH,104526767
Gems VIP,GEMS,103371714
Centrifuge,CFG,102394606
Casper Network,CSPR,101683335
SKALE,SKL,101615335
Polymesh,POLYX,101421687
Tradable Singapore Fintech SSL,PC0000023,100846154
IoTeX,IOTX,100398583
Ring USD,USDR,100323386
ORDI,ORDI,100091075
QL1 Bridged USDT (QL1),QUSDT,99974435
GMX,GMX,99699683
Omni Network [Old],OMNI,99406599
Savings xDAI,SDAI,98904284
Open Campus,EDU,98313900
ViciCoin,VCNT,97955646
DFDV Staked SOL,DFDVSOL,97666646
Frax (prev. FXS),FRAX,97612578
Babylon,BABY,97436236
VanEck Treasury Fund,VBILL,97179957
HashKey Platform Token,HSK,96842278
Chutes,SN64,96348823
Restaking Vault ETH,RSTETH,95715503
Ankr Network,ANKR,95596540
Resolv Liquidity Provider Token,RLP,95494645
Unit Plasma,UXPL,94994280
peaq,PEAQ,94775917
Request,REQ,94739391
deBridge,DBR,94709718
COTI,COTI,94631709
Mashida,MSHD,94148248
Wrapped Centrifuge,WCFG,94102564
CASH,CASH,94036515
Sushi,SUSHI,94028701
LCX,LCX,93724032
VaultBridge Bridged WBTC (Katana),VBWBTC,93471393
Helder,HLDR,93050569
Nexpace,NXPC,92719614
Swop,SWOP,92462464
MNEE USD Stablecoin,MNEE,91305571
Yala Stablecoin,YU,91249335
TempleDAO,TEMPLE,91067831
Moo Deng,MOODENG,90595536
RedStone,RED,90211523
Memecoin,MEME,90023938
Vana,VANA,89962106
Novem Pro,NVM,89787485
Anoma,XAN,89591211
Momentum,MMT,89447426
EthereumPoW,ETHW,89336338
Linea Bridged USDC (Linea),USDC,89098337
Stargate Bridged USDC,USDC.E,88411493
Cronos Bridged USDT (Cronos),USDT,88045818
World Mobile Token,WMTX,87982105
Illuvium,ILV,87634119
Numeraire,NMR,87288385
XYO Network,XYO,86895788
Api3,API3,86297333
UMA,UMA,86264441
Stargate Bridged WETH,WETH,85389611
ICON,ICX,85154695
BitDCA,BDCA,84611662
Sologenic,SOLO,84002876
BCGame Coin,BC,83505554
Orca,ORCA,83202095
Pleasing Gold,PGOLD,81382525
Lagrange,LA,80974862
Loopring,LRC,80651868
staked USD1+,SUSD1+,80528572
Harmony,ONE,79953322
PayFi Strategy Token USDC,PSTUSDC,79869698
Ore,ORE,79852171
Niza Global,NIZA,79647229
L2 Standard Bridged WETH (Optimism),WETH,79286392
Enjin Coin,ENJ,78862496
Mask Network,MASK,78717529
Apro,AT,78321574
AltLayer,ALT,77839223
Ontology,ONT,77803352
sUSDa,SUSDA,77425430
Pundi X,PUNDIX,77417641
pumpBTC,PUMPBTC,77133561
Osmosis,OSMO,76893859
f(x) Protocol fxUSD,FXUSD,76877863
GOHOME,GOHOME,76853004
Bridged Wrapped stETH (Gnosis),WSTETH,76733318
Gama Token,GAMA,76460695
Yield Guild Games,YGG,76298273
Paycoin,PCI,76209293
EUR CoinVertible,EURCV,76116788
Band,BAND,75910784
Amnis Aptos,AMAPT,75865448
Jelly-My-Jelly,JELLYJELLY,75670924
VaultBridge Bridged ETH (Katana),VBETH,75599619
Felix feUSD,FEUSD,75531560
Avant USD,AVUSD,75359398
Bridged Ether (StarkGate),ETH,74935844
Puff The Dragon,PUFF,74730615
Lucidum,LUCIC,74682823
Spark,SPK,74195946
Solar,SXP,74076004
Venus,XVS,73989638
Decentralized Social,DESO,73888270
tokenbot,CLANKER,73752415
COCA,COCA,73729403
Waves,WAVES,73575716
ElizaOS,ELIZAOS,73206315
Status,SNT,73182906
Constellation,DAG,72815896
sudeng,HIPPO,72609719
GMT,GMT,71474132
ONFA,OFT,71315299
Rocket Pool,RPL,71309890
Fulcrom,FUL,71179074
Notcoin,NOT,71015547
Tellor Tributes,TRB,70804332
Flux,FLUX,70767337
OG Fan Token,OG,70527731
Ridges AI,SN62,70436299
Metaplex,MPLX,70320642
Pleasing USD,PUSD,70161482
f(x) USD Saving,FXSAVE,69971632
io.net,IO,69938112
Magic Eden,ME,69412559
Portal to Bitcoin,PTB,69177198
Avant Staked USD,SAVUSD,68609592
USDX,USDX,68582141
Daku V2,DAKU,68355009
Restaked Swell ETH,RSWETH,67945206
FOLKS,FOLKS,67778225
Syndicate,SYND,67774412
Neiro,NEIRO,67645891
Arbitrum Bridged USDC (Arbitrum),USDC.E,67471716
Allora,ALLO,67415200
Geodnet,GEOD,65830476
Hyperbeat USDT,HBUSDT,65520841
BORA,BORA,65095353
Ventuals vHYPE,VHYPE,64806764
Matrixdock Gold,XAUM,64646013
BurnedFi,BURN,64449509
MBG By Multibank Group,MBG,64056974
Metis,METIS,63871156
BIM,BIM,63822368
OKZOO,AIOT,63781762
Janction,JCT,63436078
Ardor,ARDR,63313941
WOO,WOO,63257346
TAGGER,TAG,62881172
Lista DAO,LISTA,62847173
Optio,OPT,62636844
HOME,HOME,62474134
Bitlight,LIGHT,62174046
Binance-Peg ZEC,ZEC,61959581
IOST,IOST,61836930
Purr,PURR,61750209
Sui Bridged Ether (Sui),SBETH,61694362
BOOK OF MEME,BOME,61526005
StraitsX XUSD,XUSD,60887151
Tokenlon,LON,60789834
Chromia,CHR,60652198
MarsMi,MARSMI,60213193
Degen,DEGEN,60195851
Blast,BLAST,60192265
Celium,SN51,60160613
aixbt,AIXBT,60041991
Xertra,STRAX,60033590
ARK,ARK,60017949
Staked HYPE,STHYPE,59929107
iExec RLC,RLC,59814630
SQD,SQD,59648523
Entangle,NTGL,59579408
Terra,LUNA,59507457
Secret,SCRT,59486372
QuantixAI,QAI,59442182
Somnia,SOMI,59263581
Siren,SIREN,59125809
B3 (Base),B3,59025140
SEDA,SEDA,58975616
OpenLedger,OPEN,58835501
Hive,HIVE,58722484
Tornado Cash,TORN,58572972
ConstitutionDAO,PEOPLE,58393664
Biconomy,BICO,58349229
Solv Protocol SolvBTC Jupiter,SOLVBTC.JUP,58336627
Energy Web,EWT,58074076
Coreum,COREUM,58026620
Bancor Network,BNT,57727347
Pax Dollar,USDP,57693783
Alchemy Pay,ACH,57623215
Orbs,ORBS,57370566
Stronghold,SHX,56886499
Yooldo Games,ESPORTS,56752865
Ronin Bridged WETH (Ronin),WETH,56500074
Big Time,BIGTIME,56295207
Comedian,BAN,56287977
Zedxion,ZEDXION,56064880
Powerledger,POWR,55890548
Lisk,LSK,55885038
Dialectic USD Vault,DUSD,55585480
Bridged Tether (opBNB),USDT,55567888
Magic Internet Money (Ethereum),MIM,55417808
DIA,DIA,55393644
BUSD,BUSD,54929204
Ocean Protocol,OCEAN,54819844
WorldAssets,INC,54809440
aura,AURA,54763492
Sui Bridged USDT (Sui),SBUSDT,54365242
VNDC,VNDC,54326727
Swarm Network,TRUTH,54263909
Definitive,EDGE,54257745
Delysium,AGI,54153942
SWFTCOIN,SWFTC,54132271
Orderly,ORDER,53877876
4,4,53713793
Bonfida,FIDA,53596696
Spell,SPELL,53487029
MVL,MVL,53419022
NKYC Token,NKYC,53418823
Aevo,AEVO,53388329
Avici,AVICI,52945685
Escoin,ELG,52934399
IQ,IQ,52825344
OVERTAKE,TAKE,52805126
ai16z,AI16Z,52739353
Anvil,ANVL,52425812
Mezo Wrapped BTC,BTC,52397884
CARV,CARV,52395843
Firo,FIRO,51994804
Sign,SIGN,51903232
Songbird,SGB,51876381
Kelp Gain,AGETH,51871329
Audiera,BEAT,51810028
Whiteheart,WHITE,51570842
Cronos Bridged WBTC (Cronos),WBTC,51530293
XPIN Network,XPIN,51480334
Audius,AUDIO,51465989
ECOMI,OMI,51310014
Balancer,BAL,51292735
Clearpool,CPOOL,51263406
Resupply USD,REUSD,51243925
Hivemapper,HONEY,51180178
Kyber Network Crystal,KNC,50895986
aPriori,APR,50693834
Sapien,SAPIEN,50168065
Gigachad,GIGA,50150642
PYTHIA,PYTHIA,50028777
Liquity,LQTY,49936608
Mine Blue,MB,49863639
KGeN,KGEN,49848471
Tokamak Network,TON,49782936
Osaka Protocol,OSAK,49677132
Targon,SN4,49468311
VeraOne,VRO,49379479
Auki,AUKI,49277127
BTU Protocol,BTU,49230493
MiL.k,MLK,49212556
Impossible Cloud Network Token,ICNT,49206690
Cloud,CLOUD,49138829
Mythos,MYTH,48915724
TokenPocket Token,TPT,48816189
Manta Network,MANTA,48782714
Nillion,NIL,48713253
Bless,BLESS,48556406
Ergo,ERG,48551798
YZY,YZY,48478358
Zentry,ZENT,48439128
Venice Token,VVV,48289738
Sai,SAI,48264603
CJournal,CJL,48196251
Atoshi,ATOS,48170815
Mountain Protocol USD,USDM,48169219
Overnight.fi USD+,USD+,48073292
TROLL,TROLL,47917083
Solayer,LAYER,47702215
MindWaveDAO,NILA,47620297
Marinade,MNDE,47614341
HarryPotterObamaSonic10Inu (ETH),BITCOIN,47464746
Hex Trust USD,USDX,47462393
Ontology Gas,ONG,47441140
Gemini Dollar,GUSD,47355720
Across Protocol,ACX,47278948
Moonwell,WELL,46934752
PHALA,PHA,46724288
Sygnum FIUSD Liquidity Fund,FIUSD,46601402
CYBER,CYBER,46600155
BOLD,BOLD,46475746
Goatseus Maximus,GOAT,46339000
Iagon,IAG,46289009
Hyperbeat LST Vault,LSTHYPE,46162831
STBL,STBL,46144527
ChangeNOW,NOW,46105541
Acet,ACT,46077879
Sanctum Infinity,INF,45940820
FLOCK,FLOCK,45885807
Civic,CVC,45855394
Freysa AI,FAI,45841098
Echelon Prime,PRIME,45735290
Lava Network,LAVA,45705287
Noble Dollar (USDN),USDN,45696645
GAL (migrated to Gravity - G),GAL,45559714
Chain-key Bitcoin,CKBTC,45529709
SATS (Ordinals),SATS,45389341
11.11,11.11,45365764
Verasity,VRA,45343524
Bounce,AUCTION,45198605
Bridged Wrapped Bitcoin (StarkGate),WBTC,45133079
Aurora,AURORA,44976501
Cookie DAO,COOKIE,44972678
Avalon,AVL,44815871
StorX,SRX,44808176
Steem,STEEM,44608954
Impossible Finance Launchpad,IDIA,44425599
DORA,DORA,44327619
Marlin,POND,44257388
Steakhouse ETH Morpho Vault,STEAKETH,44067031
UnifAI Network,UAI,43970416
Doodles,DOOD,43744810
Solayer Staked SOL,SSOL,43731285
TOMI,TOMI,43624719
DOVU,DOVU,43584802
Taiko,TAIKO,43558950
Velodrome Finance,VELO,43513304
Limitless,LMTS,43431377
QANplatform,QANX,43405630
Wrapped XRP,WXRP,43362633
Coinbase Wrapped XRP,CBXRP,43317699
Huma Finance,HUMA,43235274
dKargo,DKA,43216022
Gravity (by Galxe),G,43141458
The Grays Currency,PTGC,43067810
Sophon,SOPH,42986542
Arcblock,ABT,42963883
WazirX,WRX,42930508
Stables Labs USDX,USDX,42845687
Animecoin,ANIME,42715917
Shentu,CTK,42701836
Wiki Cat,WKC,42597419
Rootstock Infrastructure Framework,RIF,42450620
Synthetix sUSD,SUSD,42395884
Mira,MIRA,42238462
Bridged Tether (Linea),USDT,42183968
Nomina,NOM,42070913
Law Blocks,LBT,42063942
SPACE ID,ID,42028636
Sonic SVM,SONIC,41956042
Vine,VINE,41736953
Moonwell Flagship USDC (Morpho Vault),MWUSDC,41724989
WAX,WAXP,41721000
Austin Capitals,AUX,41589093
Caldera,ERA,41552584
ORCIB,PALMO,41436176
Yield Basis,YB,41208378
Cobak,CBK,41179128
GameBuild,GAME,41174452
ChainGPT,CGPT,41032365
Binance-Peg DAI,DAI,40981344
VaultBridge Bridged USDC (Katana),VBUSDC,40955989
Treasure,MAGIC,40876034
Gains Network,GNS,40608379
Ekubo Protocol,EKUBO,40524209
Destra Network,DSYNC,40466240
Metal DAO,MTL,40453160
BSquared Network,B2,40383177
Cartesi,CTSI,40182245
Wrapped NXM,WNXM,40179932
Xai,XAI,40157078
Bit2Me,B2M,40154299
StakeStone,STO,40119395
Smooth Love Potion,SLP,39961853
Aegis YUSD,YUSD,39915342
JOE,JOE,39855689
Avalanche Bridged USDC (Avalanche),USDC.E,39718233
GeorgePlaysClashRoyale,CLASH,39706821
TerraClassicUSD,USTC,39253341
Hyperbeat Ultra HYPE,HBHYPE,39225349
Resolv,RESOLV,39183382
Dent,DENT,39053267
BankrCoin,BNKR,38960176
sETH,SETH,38901899
Hylo USD,HYUSD,38859986
SAFEbit,SAFE,38857668
Anyspend,ANY,38773675
Wilder World,WILD,38767860
Nym,NYM,38683063
Hippo Protocol,HP,38617214
SingularityNET,AGIX,38586722
Islamic Coin,ISLM,38552256
